gene
St18
Sulf1
Ly96
Tfap2b
Mcm3
6720483E21Rik
Tram2
Pih1d3
Gm37233
Arid5a
Fam178b
Map4k4
Il1r2
Il1rl1
Tmem182
Col3a1
Col5a2
Tmeff2
Gm28322
Cavin2
Mstn
Rftn2
Gm10561
Plcl1
Casp8
Fzd7
Gm973
Cyp20a1
Pard3b
Ccnyl1
Fn1
Igfbp2
Igfbp5
6030407O03Rik
Tmbim1
Cyp27a1
Wnt6
Gm29539
Dnajb2
Resp18
Des
Asic4
Gm816
Scg2
Dock10
Dner
Fbxo36
Spata3
Ptma
Ecel1
Prss56
Efhd1
Kcnj13
Trpm8
Spp2
Gm29538
Col6a3
Rab17
Olfr1414
Crocc2
Sned1
Neu4
Cdh20
Gm7160
Phlpp1
Cdh19
Tfcp2l1
Cfap221
Dbi
Lypd1
Tmem163
Cxcr4
Rab7b
Slc45a3
Klhdc8a
Tmem81
Cntn2
Nfasc
Ren1
Gm38394
Atp2b4
Prelp
Fmod
Syt2
Ppp1r12b
Lgr6
Elf3
Lmod1
Csrp1
Phlda3
Tnni1
Cfh
Pla2g4a
Prg4
Lamc1
Glul
Nphs2
Axdnd1
Tor3a
Cenpl
Dnm3os
Myoc
Fmo4
Fmo1
Selp
Gm16548
F5
Nme7
Cd247
Pogk
Rxrg
Lmx1a
Pbx1
Nuf2
Rgs5
Rgs4
Ddr2
Fcgr2b
Fcgr4
Fcgr3
Cfap126
Pcp4l1
Adamts4
Tstd1
Casq1
Atp1a2
Kcnj10
Slamf9
Kmo
Zbtb18
Sccpdh
Itpkb
Mixl1
Lefty1
Tmem63a
Ephx1
Dnah14
1700047M11Rik
Trp53bp2
Capn8
Tgfb2
Esrrg
Kcnk2
Cenpf
Prox1
Prox1os
D730003I15Rik
G0s2
Gm16897
Acbd7
Meig1
Frmd4a
Ucma
Usp6nl
Itih2
Prkcq
Gm13293
Rsu1
Vim
Mrc1
Plxdc2
Pip4k2a
Gad2
Apbb1ip
Nrarp
Fam166a
Slc34a3
Tprn
Abca2
Ptgds
Fcna
Nacc2
Gpsm1
Olfm1
Ralgds
Spaca9
Prrx2
Fnbp1
Fibcd1
Lamc3
Aif1l
1110008P14Rik
Lcn2
Angptl2
Pbx3
Cutal
Gsn
Gm13589
Olfml2a
Zeb2
Gm13483
1700057H21Rik
Nmi
Tnfaip6
Fmnl2
Rprm
Nr4a2
Gm33594
Ermn
Pkp4
Dapl1
Tanc1
Pla2r1
Tbr1
Fign
Grb14
Cobll1
Gm13594
Gad1
Dcaf17
Dlx1
Dlx2
Platr26
Sp9
Gpr155
Chn1
Nfe2l2
Pde1a
Frzb
Calcrl
Serping1
Ube2l6
Slc43a3
Lrrc55
4833423E24Rik
Olfr1132
Olfr1259
Olfr32
Lrp4
Mdk
Large2
Gm13814
Trp53i11
Tspan18
Cd82
Alx4
Traf6
Prr5l
Ldlrad3
Cd44
Cat
Cd59a
Depdc7
Pax6
Ccdc34
Bbox1
Ano3
Grem1
Meis2
Thbs1
Knstrn
Gm14137
Nusap1
Snap23
Mageb3
B2m
Gatm
Sema6d
Secisbp2l
